1C:Enterprise programming language	1C:Enterprise_programming_language
A# .NET	A_Sharp_(.NET)
A-0 System	A-0_System
A+	A%2B_(programming_language)
A++	A%2B%2B
ABAP	ABAP
ABC	ABC_(programming_language)
ABC ALGOL	ABC_ALGOL
ACC	ACC_(programming_language)
Accent	Accent_(programming_language)
Ace DASL (Distributed Application Specification Language)	Distributed_Application_Specification_Language
Action!	Action!_(programming_language)
ActionScript	ActionScript
Actor	Actor_(programming_language)
Ada	Ada_(programming_language)
Adenine	Adenine_(programming_language)
Agda	Agda_(theorem_prover)
Agilent VEE	Agilent_VEE
Agora	Agora_(programming_language)
AIMMS	AIMMS
Aldor	Aldor
Alef	Alef_(programming_language)
ALF	Algebraic_Logic_Functional_programming_language
ALGOL 58	ALGOL_58
ALGOL 60	ALGOL_60
ALGOL 68	ALGOL_68
ALGOL W	ALGOL_W
Alice	Alice_(programming_language)
Alma-0	Alma-0
AmbientTalk	AmbientTalk
Amiga E	Amiga_E
AMOS	AMOS_(programming_language)
AMPL	AMPL
AngelScript	AngelScript
Apex	Apex_(programming_language)
APL	APL_(programming_language)
App Inventor for Android's visual block language	App_Inventor_for_Android_(programming_language)
AppleScript	AppleScript
APT	APT_(programming_language)
Arc	Arc_(programming_language)
ARexx	ARexx
Argus	Argus_(programming_language)
Assembly language	Assembly_language
AutoHotkey	AutoHotkey
AutoLISP / Visual LISP	AutoLISP
Averest	Averest
AWK	AWK
Axum	Axum_(programming_language)
Active Server Pages	Active_Server_Pages
B	B_(programming_language)
Babbage	Babbage_(programming_language)
Ballerina	Ballerina_(programming_language)
Bash	Bash_(Unix_shell)
BASIC	BASIC
bc	Bc_(programming_language)
BCPL	BCPL
BeanShell	BeanShell
Batch file (Windows/MS-DOS)	Batch_file
Bertrand	Bertrand_(programming_language)
BETA	BETA_(programming_language)
BLISS	BLISS_(programming_language)
Blockly	Blockly
BlooP	BlooP_and_FlooP
Boo	Boo_(programming_language)
Boomerang	Boomerang_(programming_language)
Bourne shell	Bourne_shell
C	C_(programming_language)
C--	C--
C++	C%2B%2B
C*	C*
C#	C_Sharp_(programming_language)
C/AL	C/AL
Caché ObjectScript	Cach%C3%A9_ObjectScript
 C Shell (csh)	C_Shell
Caml	Caml
Cayenne	Cayenne_(programming_language)
CDuce	CDuce
Cecil	Cecil_(programming_language)
Cesil	Cesil
Céu	C%C3%A9u_(programming_language)
Ceylon	Ceylon_(programming_language)
CFEngine	CFEngine
Cg	Cg_(programming_language)
Ch	Ch_(computer_programming)
Chapel	Chapel_(programming_language)
Charity	Charity_(programming_language)
Charm	Charm_(language)
CHILL	CHILL
CHIP-8	CHIP-8
chomski	Chomski
ChucK	ChucK
Cilk	Cilk
Citrine	Citrine_(programming_language)
CL	AS/400_Control_Language
Claire	Claire_(programming_language)
Clarion	Clarion_(programming_language)
Clean	Clean_(programming_language)
Clipper	Clipper_(programming_language)
CLIPS	CLIPS_(programming_language)
CLIST	CLIST
Clojure	Clojure
CLU	CLU_(programming_language)
CMS-2	CMS-2_(programming_language)
COBOL	COBOL
CobolScript	CobolScript
Cobra	Cobra_(programming_language)
CoffeeScript	CoffeeScript
ColdFusion	ColdFusion
COMAL	COMAL
Combined Programming Language	Combined_Programming_Language
COMIT	COMIT
Common Intermediate Language	Common_Intermediate_Language
Common Lisp	Common_Lisp
COMPASS	COMPASS
Component Pascal	Component_Pascal
Constraint Handling Rules	Constraint_Handling_Rules
COMTRAN	COMTRAN
Cool	Cool_(programming_language)
Coq	Coq
Coral 66	Coral_66
CorVision	CorVision
COWSEL	COWSEL
CPL	CPL_(programming_language)
Cryptol	Cryptol
 Crystal	Crystal_(programming_language)
Csound	Csound
CSP	Communicating_sequential_processes
Cuneiform	Cuneiform_(programming_language)
Curl	Curl_(programming_language)
Curry	Curry_(programming_language)
Cybil	Cybil_(programming_language)
Cyclone	Cyclone_(programming_language)
Cython	Cython
D	D_(programming_language)
DASL	Datapoint%27s_Advanced_Systems_Language
Dart	Dart_(programming_language)
Darwin	Darwin_(programming_language)
DataFlex	DataFlex
Datalog	Datalog
DATATRIEVE	DATATRIEVE
dBase	DBase
dc	Dc_(computer_program)
DCL	DIGITAL_Command_Language
DinkC	Dink_Smallwood#Modification
DIBOL	DIBOL
Dog	Dog_(programming_language)
Draco	Draco_(programming_language)
DRAKON	DRAKON
Dylan	Dylan_(programming_language)
DYNAMO	DYNAMO_(programming_language)
DAX (Data Analysis Expressions)	Data_analysis_expressions
E	E_(programming_language)
Ease	Ease_(programming_language)
Easy PL/I	PL/I
EASYTRIEVE PLUS	Easytrieve
eC	EC_(programming_language)
ECMAScript	ECMAScript
Edinburgh IMP	Edinburgh_IMP
EGL	EGL_(programming_language)
Eiffel	Eiffel_(programming_language)
ELAN	ELAN_(programming_language)
Elixir	Elixir_(programming_language)
Elm	Elm_(programming_language)
Emacs Lisp	Emacs_Lisp
Emerald	Emerald_(programming_language)
Epigram	Epigram_(programming_language)
 EPL (Easy Programming Language)	Easy_Programming_Language
 EPL (Eltron Programming Language)	Eltron_Programming_Language
Erlang	Erlang_(programming_language)
es	Es_(Unix_shell)
Escher	Escher_(programming_language)
ESPOL	Executive_Systems_Problem_Oriented_Language
Esterel	Esterel
Etoys	Etoys_(programming_language)
Euclid	Euclid_(programming_language)
Euler	Euler_(programming_language)
Euphoria	Euphoria_(programming_language)
EusLisp Robot Programming Language	EusLisp_Robot_Programming_Language
CMS EXEC	CMS_EXEC
EXEC 2	EXEC_2
Executable UML	Executable_UML
Ezhil	Ezhil_(programming_language)
F	F_(programming_language)
F#	F_Sharp_(programming_language)
F*	F*_(programming_language)
Factor	Factor_(programming_language)
Fantom	Fantom_(programming_language)
FAUST	FAUST_(programming_language)
FFP	FFP_(programming_language)
Fjölnir	Fj%C3%B6lnir_(programming_language)
FL	FL_(programming_language)
Flavors	Flavors_(programming_language)
Flex	Flex_(language)
FlooP	BlooP_and_FlooP
FLOW-MATIC	FLOW-MATIC
FOCAL	FOCAL_(programming_language)
FOCUS	FOCUS
FOIL	FOIL_(programming_language)
FORMAC	FORMAC_(programming_language)
@Formula	Formula_language
Forth	Forth_(programming_language)
Fortran	Fortran
Fortress	Fortress_(programming_language)
FP	FP_(programming_language)
Franz Lisp	Franz_Lisp
F-Script	F-Script_(programming_language)
Game Maker Language	Game_Maker_Language
GameMonkey Script	GameMonkey_Script
GAMS	General_Algebraic_Modeling_System
GAP	GAP_computer_algebra_system
G-code	G-code
GDScript	GDScript
Genie	Genie_(programming_language)
GDL	Geometric_Description_Language
GEORGE	GEORGE_(programming_language)
GLSL	GLSL
GNU E	GNU_E
Go	Go_(programming_language)
Go!	Go!_(programming_language)
GOAL	Game_Oriented_Assembly_Lisp
Gödel	G%C3%B6del_(programming_language)
Golo	Golo_(programming_language)
GOM (Good Old Mad)	MAD_(programming_language)
Google Apps Script	Google_Apps_Script
Gosu	Gosu_(programming_language)
GOTRAN	IBM_1620#GOTRAN
GPSS	GPSS
GraphTalk	Computer_Sciences_Corporation
GRASS	GRASS_(programming_language)
Grasshopper	Grasshopper_3D
Groovy	Groovy_(programming_language)
Hack	Hack_(programming_language)
HAGGIS	HAGGIS
HAL/S	HAL/S
Halide (programming language)	Halide_(programming_language)
Hamilton C shell	Hamilton_C_shell
Harbour	Harbour_(software)
Hartmann pipelines	Hartmann_pipeline
Haskell	Haskell_(programming_language)
Haxe	Haxe
Hermes	Hermes_(programming_language)
High Level Assembly	High_Level_Assembly
HLSL	High_Level_Shader_Language
Hollywood	Hollywood_(programming_language)
HolyC	TempleOS
Hop	Hop_(software)
Hopscotch	Hopscotch_(programming_language)
Hope	Hope_(programming_language)
Hugo	Hugo_(programming_language)
Hume	Hume_(language)
HyperTalk	HyperTalk
Io	Io_(programming_language)
Icon	Icon_(programming_language)
IBM Basic assembly language	IBM_Basic_assembly_language
IBM HAScript	IBM_HAScript
IBM Informix-4GL	IBM_Informix-4GL
IBM RPG	IBM_RPG
Irineu	Irineu
IDL	IDL_(programming_language)
Idris	Idris_(programming_language)
Inform	Inform_(programming_language)
J	J_(programming_language)
J#	J_Sharp
J++	Visual_J%2B%2B
JADE	JADE_(programming_language)
JAL	JAL_(compiler)
Janus (concurrent constraint programming language)	Janus_(concurrent_constraint_programming_language)
Janus (time-reversible computing programming language)	Janus_(time-reversible_computing_programming_language)
JASS	JASS
Java	Java_(programming_language)
JavaFX Script	JavaFX_Script
JavaScript	JavaScript
JCL	Job_Control_Language
JEAN	JEAN
Join Java	Join_Java
JOSS	JOSS
Joule	Joule_(programming_language)
JOVIAL	JOVIAL
Joy	Joy_(programming_language)
JScript	JScript
JScript .NET	JScript_.NET
Julia	Julia_(programming_language)
Jython	Jython
K	K_(programming_language)
Kaleidoscope	Kaleidoscope_(programming_language)
Karel	Karel_(programming_language)
KEE	IntelliCorp_(Software)
Kixtart	KiXtart
Klerer-May System	Klerer-May_System
KIF	Knowledge_Interchange_Format
Kojo	Kojo_(programming_language)
Kotlin	Kotlin_(programming_language)
KRC	Kent_Recursive_Calculator
KRL	KRL_(programming_language)
KUKA Robot Language	KUKA_Robot_Language
KRYPTON	KRYPTON
Korn shell (ksh)	Korn_shell
Kodu	Kodu_Game_Lab
Kv	Kivy_(framework)#Kv_language
LabVIEW	LabVIEW
Ladder	Ladder_logic
LANSA	LANSA_(development_environment)
Lasso	Lasso_(programming_language)
Lava	Lava_(programming_language)
LC-3	LC-3
Legoscript	Legoscript
LIL	Little_Implementation_Language
LilyPond	LilyPond
Limbo	Limbo_(programming_language)
Limnor	Limnor
LINC	LINC_4GL
Lingo	Lingo_(programming_language)
LINQ	LINQ
LIS	LIS_(programming_language)
LISA	Language_for_Instruction_Set_Architecture
Lisp	Lisp_(programming_language)
Lite-C	Lite-C
Lithe	Lithe_(programming_language)
Little b	Little_b_(programming_language)
LLL	Ethereum#Programming_languages
Logo	Logo_(programming_language)
Logtalk	Logtalk
LotusScript	LotusScript
LPC	LPC_(programming_language)
LSE	LSE_(programming_language)
LSL	Linden_Scripting_Language
LiveCode	LiveCode
LiveScript	LiveScript
Lua	Lua_(programming_language)
Lucid	Lucid_(programming_language)
Lustre	Lustre_(programming_language)
LYaPAS	LYaPAS
Lynx	Lynx_(programming_language)
M2001	M2001
M4	M4_(computer_language)
M#	M_Sharp_(programming_language)
Machine code	Machine_code
MAD	MAD_(programming_language)
MAD/I	MAD_(programming_language)
Magik	Magik_(programming_language)
Magma	Magma_computer_algebra_system
Maude system	Maude_system
Máni	M%C3%A1ni
Maple	Maple_(software)
MAPPER	MAPPER
MARK-IV	MARK_IV_(software)
Mary	Mary_(programming_language)
MASM Microsoft Assembly x86	Microsoft_Macro_Assembler
MATH-MATIC	MATH-MATIC
Mathematica	Mathematica
MATLAB	MATLAB
Maxima	Maxima_(software)
Max	Max_(software)
MaxScript	Autodesk_3ds_Max
Maya (MEL)	Maya_Embedded_Language
MDL	MDL_(programming_language)
Mercury	Mercury_(programming_language)
Mesa	Mesa_(programming_language)
Metafont	Metafont
MHEG-5 (Interactive TV programming language)	MHEG-5
Microcode	Microassembler
MicroScript	MicroScript_(programming_language)
MIIS	MIIS_(programming_language)
Milk (programming language)	Milk_(programming_language)
MIMIC	MIMIC
Mirah	Mirah_(programming_language)
Miranda	Miranda_(programming_language)
MIVA Script	MIVA_Script
ML	ML_(programming_language)
Model 204	Model_204
Modelica	Modelica
Modula	Modula
Modula-2	Modula-2
Modula-3	Modula-3
Mohol	Mohol_programming_languages
MOO	MOO_(programming_language)
Mortran	Mortran
Mouse	Mouse_(programming_language)
MPD	MPD_(programming_language)
Mathcad	Mathcad
MSL	MIRC_scripting_language
MUMPS	MUMPS
MuPAD	MuPAD
Mutan	Ethereum#Programming_languages
Mystic Programming Language	Mystic_BBS
NASM	Netwide_Assembler
Napier88	Napier88
Neko	Neko_(programming_language)
Nemerle	Nemerle
NESL	NESL
Net.Data	Net.Data
NetLogo	NetLogo
NetRexx	NetRexx
NewLISP	NewLISP
NEWP	NEWP
Newspeak	Newspeak_(programming_language)
NewtonScript	NewtonScript
Nial	Nial
Nice	Nice_(programming_language)
Nickle	Nickle_(programming_language)
Nim	Nim_(programming_language)
NPL	NORD_Programming_Language
Not eXactly C	Not_eXactly_C
Not Quite C	Not_Quite_C
NSIS	Nullsoft_Scriptable_Install_System
Nu	Nu_(programming_language)
NWScript	NWScript
NXT-G	NXT-G
o:XML	O:XML
Oak	Oak_(programming_language)
Oberon	Oberon_(programming_language)
OBJ2	OBJ2
Object Lisp	Object_Lisp
ObjectLOGO	ObjectLOGO
Object REXX	Object_REXX
Object Pascal	Object_Pascal
Objective-C	Objective-C
Objective-J	Objective-J
Obliq	Obliq
OCaml	OCaml
occam	Occam_(programming_language)
occam-π	Occam-%CF%80
Octave	GNU_Octave
OmniMark	OmniMark
Onyx	Onyx_(programming_language)
Opa	Opa_(programming_language)
Opal	Opal_(programming_language)
OpenCL	OpenCL
OpenEdge ABL	OpenEdge_Advanced_Business_Language
OPL	Open_Programming_Language
OpenVera	OpenVera
OPS5	OPS5
OptimJ	OptimJ
Orc	Orc_(programming_language)
ORCA/Modula-2	ORCA/Modula-2
Oriel	Oriel_(scripting_language)
Orwell	Orwell_(programming_language)
Oxygene	Oxygene_(programming_language)
Oz	Oz_(programming_language)
P	P_(programming_language)
P4	P4_(programming_language)
P′′	P%E2%80%B2%E2%80%B2
ParaSail (programming language)	ParaSail_(programming_language)
PARI/GP	PARI/GP
Pascal	Pascal_(programming_language)
Pascal Script	Pascal_Script
PCASTL	PCASTL
PCF	Programming_language_for_Computable_Functions
PEARL	PEARL_(programming_language)
PeopleCode	PeopleCode
Perl	Perl
PDL	Perl_Data_Language
Perl 6	Perl_6
Pharo	Pharo
PHP	PHP
Pico	Pico_(programming_language)
Picolisp	Picolisp
Pict	Pict_(programming_language)
Pig (programming tool)	Pig_(programming_tool)
Pike	Pike_(programming_language)
PILOT	PILOT
Pipelines	Hartmann_pipeline
Pizza	Pizza_(programming_language)
PL-11	PL-11
PL/0	PL/0
PL/B	Programming_Language_for_Business
PL/C	PL/C
PL/I	PL/I
PL/M	PL/M
PL/P	PL/P
PL/SQL	PL/SQL
PL360	PL360
PLANC	PLANC
Plankalkül	Plankalk%C3%BCl
Planner	Planner_(programming_language)
PLEX	PLEX_(programming_language)
PLEXIL	PLEXIL
Plus	Plus_(programming_language)
POP-11	POP-11
POP-2	POP-2
PostScript	PostScript
PortablE	Amiga_E#PortablE
POV-Ray SDL	POV-Ray
Powerhouse	Powerhouse_(programming_language)
PowerBuilder	PowerBuilder
PowerShell	PowerShell
PPL	Polymorphic_Programming_Language
Processing	Processing_(programming_language)
Processing.js	Processing.js
Prograph	Prograph
PROIV	PROIV
Prolog	Prolog
PROMAL	PROMAL
Promela	Promela
PROSE modeling language	PROSE_modeling_language
PROTEL	Protel
ProvideX	ProvideX
Pro*C	Pro*C
Pure	Pure_(programming_language)
Pure Data	Pure_Data
Python	Python_(programming_language)
Q (programming language from Kx Systems)	Q_(programming_language_from_Kx_Systems)
Q# (Microsoft programming language)	Q_Sharp
Qalb	Qalb_(programming_language)
QtScript	QtScript
QuakeC	QuakeC
QPL	Quantum_programming
Qbasic	Qbasic
R	R_(programming_language)
R++	R%2B%2B
Racket	Racket_(programming_language)
RAPID	RAPID
Rapira	Rapira
Ratfiv	Ratfiv
Ratfor	Ratfor
rc	Rc
Reason	Reason_(programming_language)
REBOL	REBOL
Red	Red_(programming_language)
Redcode	Core_War
REFAL	REFAL
REXX	REXX
Rlab	Rlab
ROOP	ROOP_(programming_language)
RPG	IBM_RPG
RPL	RPL_(programming_language)
RSL	Robot_Battle#Robot_scripting_language
RTL/2	RTL/2
Ruby	Ruby_(programming_language)
RuneScript	RuneScript
Rust	Rust_(programming_language)
S	S_(programming_language)
S2	S2_(programming_language)
S3	S3_(programming_language)
S-Lang	S-Lang_(programming_language)
S-PLUS	S-PLUS
SA-C	SA-C_(programming_language)
SabreTalk	SabreTalk
SAIL	SAIL_(programming_language)
SAM76	SAM76
SAS	SAS_System
SASL	SASL_(programming_language)
Sather	Sather
Sawzall	Sawzall_(programming_language)
Scala	Scala_(programming_language)
Scheme	Scheme_(programming_language)
Scilab	Scilab
Scratch	Scratch_(programming_language)
Script.NET	Script.NET
Sed	Sed
Seed7	Seed7
Self	Self_(programming_language)
SenseTalk	SenseTalk
SequenceL	SequenceL
Serpent	Ethereum#Programming_languages
SETL	SETL
SIMPOL	Superbase_database#History
SIGNAL	SIGNAL_(programming_language)
SiMPLE	SiMPLE
SIMSCRIPT	SIMSCRIPT
Simula	Simula
Simulink	Simulink
Singularity	Singularity_(operating_system)
SISAL	SISAL
SLIP	SLIP_(programming_language)
SMALL	SMALL
Smalltalk	Smalltalk
SML	Standard_ML
Strongtalk	Strongtalk
Snap!	Snap!_(programming_language)
SNOBOL	SNOBOL
Snowball	Snowball_programming_language
SOL	Secure_Operations_Language
Solidity	Solidity
SOPHAEROS	SOPHAEROS
SPARK	SPARK_(programming_language)
Speakeasy	Speakeasy_(computational_environment)
Speedcode	Speedcoding
SPIN	Parallax_Propeller
SP/k	SP/k
SPS	IBM_1401_Symbolic_Programming_System
SQL	SQL
SQR	SQR
Squeak	Squeak
Squirrel	Squirrel_(programming_language)
SR	SR_(programming_language)
S/SL	S/SL_programming_language
Starlogo	Starlogo
Strand	Strand_(programming_language)
Stata	Stata
Stateflow	Stateflow
Subtext	Subtext_(programming_language)
SBL	Superbase_database
SuperCollider	SuperCollider
SuperTalk	SuperTalk
Swift (Apple programming language)	Swift_(programming_language)
Swift (parallel scripting language)	Swift_(parallel_scripting_language)
SYMPL	SYMPL
SystemVerilog	SystemVerilog
T	T_(programming_language)
TACL	TACL
TACPOL	TACPOL_(programming_language)
TADS	TADS
TAL	Transaction_Application_Language
Tcl	Tcl
Tea	Tea_(programming_language)
TECO	Text_Editor_and_Corrector
TELCOMP	TELCOMP
Ubercode	Ubercode
UCSD Pascal	UCSD_Pascal
Umple	Umple
Unicon	Unicon_(programming_language)
Uniface	Uniface_(programming_language)
UNITY	UNITY_(programming_language)
Unix shell	Unix_shell
UnrealScript	UnrealScript
Vala	Vala_(programming_language)
Verilog	Verilog
VHDL	VHDL
Vim script	Vim_(text_editor)#Vim_script
Viper	Ethereum#Smart_contracts
Visual Basic	Visual_Basic
Visual Basic .NET	Visual_Basic_.NET
Visual DataFlex	Visual_DataFlex
Visual DialogScript	Visual_DialogScript
Visual Fortran	Visual_Fortran
Visual FoxPro	Visual_FoxPro
Visual J++	Visual_J%2B%2B
Visual J#	Visual_J
Visual LISP	AutoLISP
Visual Objects	Visual_Objects
Visual Prolog	Visual_Prolog
VSXu	VSXu
WATFIV, WATFOR	WATFIV_(programming_language)
WebAssembly	WebAssembly
WebDNA	WebDNA
Whiley	Whiley_(programming_language)
Winbatch	Winbatch
Wolfram Language	Wolfram_Language
Wyvern	Wyvern_(programming_language)
X++	X%2B%2B
X10	X10_(programming_language)
xBase	XBase
xBase++	XBase%2B%2B
XBL	XBL
XC	XC_Programming_Language
xHarbour	XHarbour
XL	XL_(programming_language)
Xojo	Xojo
XOTcl	XOTcl
XOD (programming language)	XOD_(programming_language)
XPath	XPath
XPL	XPL
XPL0	XPL0
XQuery	XQuery
XSB	XSB
XSharp	XSharp
XSLT	XSL_Transformations
Xtend	Xtend
Yorick	Yorick_(programming_language)
YQL	YQL_(programming_language)
Yoix	Yoix
YUI	YUI_Library
Z notation	Z_notation
Zebra, ZPL, ZPL2	Zebra_(programming_language)
Zeno	Zeno_(programming_language)
ZetaLisp	ZetaLisp
ZOPL	ZOPL
Zsh	Z_shell
ZPL	ZPL_(programming_language)
Z++	Z%2B%2B
